name,team,edp,adp_rank
Jahmyr Gibbs,DET,1.01,1
Bijan Robinson,ATL,1.02,2
Ja'Marr Chase,CIN,1.03,3
Puka Nacua,LAR,1.04,4
Jaxon Smith-Njigba,SEA,1.05,5
Christian McCaffrey,SF,1.06,6
Amon-Ra St. Brown,DET,1.07,7
Jonathan Taylor,IND,1.08,8
Ashton Jeanty,LV,1.09,9
James Cook III,BUF,1.1,10
Justin Jefferson,MIN,1.11,11
CeeDee Lamb,DAL,1.12,12
Saquon Barkley,PHI,2.01,13
Omarion Hampton,LAC,2.02,14
De'Von Achane,MIA,2.03,15
Chase Brown,CIN,2.04,16
Drake London,ATL,2.05,17
Brock Bowers,LV,2.06,18
Ken Walker III,KC,2.07,19
A.J. Brown,NE,2.08,20
Derrick Henry,BAL,2.09,21
Nico Collins,HOU,2.1,22
Trey McBride,ARI,2.11,23
George Pickens,DAL,2.12,24
Rashee Rice,KC,3.02,25
Josh Allen,BUF,3.03,26
Chris Olave,NO,3.04,27
DeVonta Smith,PHI,3.05,28
Breece Hall,NYJ,3.06,29
Kyren Williams,LAR,3.07,30
Emeka Egbuka,TB,3.08,31
Zay Flowers,BAL,3.09,32
Javonte Williams,DAL,3.1,33
Josh Jacobs,GB,3.11,34
Tee Higgins,CIN,3.12,35
Tetairoa McMillan,CAR,4.01,36
Malik Nabers,NYG,4.02,37
Garrett Wilson,NYJ,4.03,38
Ladd McConkey,LAC,4.04,39
Travis Etienne Jr.,NO,4.05,40
Colston Loveland,CHI,4.06,41
Cam Skattebo,NYG,4.07,42
Jaylen Waddle,DEN,4.08,43
Luther Burden III,CHI,4.09,44
Terry McLaurin,WAS,4.1,45
David Montgomery,HOU,4.11,46
Davante Adams,LAR,4.12,47
Quinshon Judkins,CLE,5.01,48
TreVeyon Henderson,NE,5.02,49
DJ Moore,BUF,5.03,50
D'Andre Swift,CHI,5.04,51
Mike Evans,SF,5.05,52
Bucky Irving,TB,5.06,53
Lamar Jackson,BAL,5.07,54
Jameson Williams,DET,5.08,55
Tyler Warren,IND,5.09,56
Bhayshul Tuten,JAX,5.1,57
Christian Watson,GB,5.11,58
Rome Odunze,CHI,5.12,59
Joe Burrow,CIN,6.01,60
Drake Maye,NE,6.02,61
Marvin Harrison Jr.,ARI,6.05,62
Jayden Daniels,WAS,6.06,63
Brian Thomas Jr.,JAX,6.07,64
