name,pos,team,bye,pass_yds,pass_td,pass_int,pass_2pt,rush_yds,rush_td,rush_2pt,rec,rec_yds,rec_td,rec_2pt,fum_lost
Travis Hunter,WR,JAX,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Brown,QB,FA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezekiel Turner,RB,FA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Allen,QB,BUF,7,3750.38,27.0,10.82,0.0,539.6,10.93,0.0,0.0,0.0,0.0,0.0,3.42
Jahmyr Gibbs,RB,DET,6,0.0,0.0,0.0,0.0,1332.8,13.44,0.0,66.09,546.53,3.07,0.0,1.53
Bijan Robinson,RB,ATL,11,0.0,0.0,0.0,0.0,1361.58,10.51,0.0,72.69,619.89,2.64,0.0,1.98
Drake Maye,QB,NE,11,4038.02,27.31,10.04,0.0,514.02,4.51,0.0,0.0,0.0,0.0,0.0,2.84
Joe Burrow,QB,CIN,6,4265.6,33.6,11.62,0.0,178.09,1.8,0.0,0.0,0.0,0.0,0.0,3.13
Lamar Jackson,QB,BAL,13,3433.62,25.4,8.87,0.0,659.69,4.4,0.0,0.0,0.0,0.0,0.0,2.84
Jalen Hurts,QB,PHI,10,3572.02,22.02,9.91,0.0,460.09,7.71,0.0,0.0,0.0,0.0,0.0,2.8
Christian McCaffrey,RB,SF,8,0.0,0.0,0.0,0.0,1116.29,10.8,0.0,70.24,618.96,5.11,0.0,1.44
Jayden Daniels,QB,WAS,7,3621.47,23.0,9.71,0.0,597.89,4.87,0.0,0.0,0.0,0.0,0.0,2.91
Ja'Marr Chase,WR,CIN,6,0.0,0.0,0.0,0.0,16.47,0.04,0.0,119.76,1523.87,12.53,0.0,0.64
Justin Herbert,QB,LAC,7,3863.38,27.96,10.24,0.0,265.2,2.56,0.0,0.0,0.0,0.0,0.0,2.6
Brock Purdy,QB,SF,8,3940.44,27.78,12.4,0.0,208.13,2.87,0.0,0.0,0.0,0.0,0.0,2.02
Jordan Love,QB,GB,11,3653.91,25.8,10.58,0.0,201.07,1.93,0.0,0.0,0.0,0.0,0.0,2.56
Trevor Lawrence,QB,JAX,7,3836.89,24.98,11.91,0.0,316.4,3.91,0.0,0.0,0.0,0.0,0.0,2.09
Bo Nix,QB,DEN,10,3721.87,25.11,11.42,0.0,349.87,3.49,0.0,0.0,0.0,0.0,0.0,1.56
Caleb Williams,QB,CHI,10,3729.71,26.02,9.0,0.0,409.18,2.53,0.0,0.0,0.0,0.0,0.0,3.24
Dak Prescott,QB,DAL,14,4159.56,28.11,11.36,0.0,183.29,2.02,0.0,0.0,0.0,0.0,0.0,2.56
Matthew Stafford,QB,LAR,11,4087.42,32.67,10.56,0.0,37.78,0.29,0.0,0.0,0.0,0.0,0.0,1.89
Kyler Murray,QB,MIN,6,3619.07,22.82,11.6,0.0,441.36,3.91,0.0,0.0,0.0,0.0,0.0,2.71
Jared Goff,QB,DET,6,4143.24,29.82,10.73,0.0,57.18,0.27,0.0,0.0,0.0,0.0,0.0,0.8
Puka Nacua,WR,LAR,11,0.0,0.0,0.0,0.0,40.64,0.64,0.0,113.87,1439.82,9.36,0.0,0.58
Jonathan Taylor,RB,IND,13,0.0,0.0,0.0,0.0,1364.33,12.16,0.0,42.31,318.64,1.71,0.0,1.8
Patrick Mahomes II,QB,KC,5,3836.62,26.42,11.36,0.0,247.8,2.49,0.0,0.0,0.0,0.0,0.0,1.47
Jaxson Dart,QB,NYG,8,3453.11,21.76,11.11,0.0,405.73,5.58,0.0,0.0,0.0,0.0,0.0,2.18
Tyler Shough,QB,NO,8,3791.56,20.96,12.18,0.0,273.84,3.44,0.0,0.0,0.0,0.0,0.0,0.42
De'Von Achane,RB,MIA,6,0.0,0.0,0.0,0.0,1038.07,6.84,0.0,66.78,499.18,3.02,0.0,1.6
Baker Mayfield,QB,TB,10,3751.53,26.11,12.2,0.0,237.96,1.82,0.0,0.0,0.0,0.0,0.0,3.09
James Cook III,RB,BUF,7,0.0,0.0,0.0,0.0,1258.82,11.67,0.0,33.36,271.78,1.87,0.0,1.51
C.J. Stroud,QB,HOU,8,3893.98,22.98,10.29,0.0,228.98,1.02,0.0,0.0,0.0,0.0,0.0,1.49
Ashton Jeanty,RB,LV,13,0.0,0.0,0.0,0.0,1230.71,8.87,0.0,57.84,413.29,2.56,0.0,1.76
Daniel Jones,QB,IND,13,3552.04,21.71,11.78,0.0,289.22,2.53,0.0,0.0,0.0,0.0,0.0,2.07
Saquon Barkley,RB,PHI,10,0.0,0.0,0.0,0.0,1267.82,9.22,0.0,36.58,285.67,1.8,0.0,1.51
Derrick Henry,RB,BAL,13,0.0,0.0,0.0,0.0,1382.58,12.22,0.0,15.13,135.16,0.31,0.0,1.42
Chase Brown,RB,CIN,6,0.0,0.0,0.0,0.0,963.82,6.44,0.0,63.22,447.76,3.87,0.0,1.42
Jaxon Smith-Njigba,WR,SEA,11,0.0,0.0,0.0,0.0,21.67,0.02,0.0,103.96,1371.31,8.73,0.0,0.53
Malik Willis,QB,MIA,6,3326.82,16.87,13.62,0.0,481.67,4.49,0.0,0.0,0.0,0.0,0.0,2.29
Bryce Young,QB,CAR,5,3198.69,20.8,11.84,0.0,244.98,2.29,0.0,0.0,0.0,0.0,0.0,2.58
Amon-Ra St. Brown,WR,DET,6,0.0,0.0,0.0,0.0,5.78,0.04,0.0,105.78,1253.58,9.87,0.0,0.49
Aaron Rodgers,QB,PIT,9,3530.71,24.31,9.36,0.0,71.0,0.87,0.0,0.0,0.0,0.0,0.0,1.33
Cam Ward,QB,TEN,9,3584.31,19.24,12.11,0.0,185.87,1.91,0.0,0.0,0.0,0.0,0.0,3.13
Justin Jefferson,WR,MIN,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2,1311.29,6.76,0.0,0.51
Ken Walker III,RB,KC,5,0.0,0.0,0.0,0.0,1081.33,8.96,0.0,42.87,331.22,1.62,0.0,1.38
Omarion Hampton,RB,LAC,7,0.0,0.0,0.0,0.0,1074.84,8.64,0.0,52.96,384.22,2.49,0.0,1.93
Sam Darnold,QB,SEA,11,3639.13,23.42,13.33,0.0,110.27,0.91,0.0,0.0,0.0,0.0,0.0,3.04
Brock Bowers,TE,LV,13,0.0,0.0,0.0,0.0,8.33,0.0,0.0,116.84,1268.87,6.58,0.0,0.56
Kyren Williams,RB,LAR,11,0.0,0.0,0.0,0.0,1048.47,10.11,0.0,33.31,236.58,2.56,0.0,1.29
CeeDee Lamb,WR,DAL,14,0.0,0.0,0.0,0.0,26.0,0.07,0.0,97.67,1242.16,8.96,0.0,0.47
Rashee Rice,WR,KC,5,0.0,0.0,0.0,0.0,30.07,0.11,0.0,91.51,1082.0,7.84,0.0,0.49
A.J. Brown,WR,NE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4,1354.04,8.18,0.0,0.47
Drake London,WR,ATL,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.47,1237.33,7.78,0.0,0.51
Nico Collins,WR,HOU,8,0.0,0.0,0.0,0.0,16.42,0.02,0.0,89.6,1295.78,7.4,0.0,0.44
George Pickens,WR,DAL,14,0.0,0.0,0.0,0.0,11.98,0.02,0.0,84.4,1193.49,7.69,0.0,0.42
DeVonta Smith,WR,PHI,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.96,1156.16,6.78,0.0,0.38
Jaylen Waddle,WR,DEN,10,0.0,0.0,0.0,0.0,4.6,0.02,0.0,85.27,1062.09,5.82,0.0,0.4
Terry McLaurin,WR,WAS,7,0.0,0.0,0.0,0.0,5.33,0.0,0.0,78.62,1039.4,6.89,0.0,0.42
Jeremiyah Love,RB,ARI,14,0.0,0.0,0.0,0.0,968.71,6.78,0.0,55.36,406.73,1.71,0.0,1.49
Travis Etienne Jr.,RB,NO,8,0.0,0.0,0.0,0.0,1038.33,7.33,0.0,40.07,299.24,1.13,0.0,1.44
Quinshon Judkins,RB,CLE,11,0.0,0.0,0.0,0.0,1071.29,7.22,0.0,34.93,238.71,0.96,0.0,1.64
Bucky Irving,RB,TB,10,0.0,0.0,0.0,0.0,1035.27,6.73,0.0,36.6,291.27,1.04,0.0,1.31
Cam Skattebo,RB,NYG,8,0.0,0.0,0.0,0.0,934.18,7.42,0.0,39.51,298.89,2.22,0.0,1.4
Chris Olave,WR,NO,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.56,1139.2,6.0,0.0,0.44
Geno Smith,QB,NYJ,13,3417.13,17.24,12.89,0.0,180.73,1.16,0.0,0.0,0.0,0.0,0.0,2.56
Zay Flowers,WR,BAL,13,0.0,0.0,0.0,0.0,38.29,0.07,0.0,83.09,1108.64,5.87,0.0,0.44
Breece Hall,RB,NYJ,13,0.0,0.0,0.0,0.0,1063.89,6.49,0.0,50.02,417.04,1.76,0.0,1.62
Emeka Egbuka,WR,TB,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.04,1037.13,7.16,0.0,0.4
Luther Burden III,WR,CHI,10,0.0,0.0,0.0,0.0,28.44,0.07,0.0,80.73,1001.47,6.51,0.0,0.4
Tetairoa McMillan,WR,CAR,5,0.0,0.0,0.0,0.0,4.22,0.02,0.0,78.6,1045.38,7.58,0.0,0.42
Tee Higgins,WR,CIN,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.27,1004.27,8.16,0.0,0.38
Javonte Williams,RB,DAL,14,0.0,0.0,0.0,0.0,1129.49,8.38,0.0,35.0,227.07,1.51,0.0,1.47
David Montgomery,RB,HOU,8,0.0,0.0,0.0,0.0,946.98,8.84,0.0,30.51,234.38,0.82,0.0,1.24
Josh Jacobs,RB,GB,11,0.0,0.0,0.0,0.0,1088.93,10.27,0.0,33.31,276.6,1.51,0.0,1.4
DJ Moore,WR,BUF,7,0.0,0.0,0.0,0.0,21.67,0.0,0.0,82.82,1027.18,6.89,0.0,0.4
Ladd McConkey,WR,LAC,7,0.0,0.0,0.0,0.0,12.11,0.0,0.0,83.2,1040.93,7.0,0.0,0.36
Colston Loveland,TE,CHI,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6,808.84,6.76,0.0,0.38
Trey McBride,TE,ARI,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.29,1056.98,6.47,0.0,0.51
Tucker Kraft,TE,GB,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.24,813.11,6.51,0.0,0.31
Mike Evans,WR,SF,8,0.0,0.0,0.0,0.0,9.89,0.0,0.0,67.6,931.82,8.04,0.0,0.31
D'Andre Swift,RB,CHI,10,0.0,0.0,0.0,0.0,981.33,7.22,0.0,32.22,259.8,1.47,0.0,1.24
Christian Watson,WR,GB,11,0.0,0.0,0.0,0.0,23.31,0.07,0.0,61.02,873.82,5.96,0.0,0.31
Jaylen Warren,RB,PIT,9,0.0,0.0,0.0,0.0,784.29,4.93,0.0,49.27,366.0,2.16,0.0,1.16
Carnell Tate,WR,TEN,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.98,933.98,5.36,0.0,0.33
Jameson Williams,WR,DET,6,0.0,0.0,0.0,0.0,34.13,0.09,0.0,64.51,1037.98,6.67,0.0,0.33
Jadarian Price,RB,SEA,11,0.0,0.0,0.0,0.0,904.49,6.84,0.0,23.96,177.09,0.93,0.0,1.04
Quentin Johnston,WR,LAC,7,0.0,0.0,0.0,0.0,11.56,0.0,0.0,57.89,776.64,6.44,0.0,0.29
Bhayshul Tuten,RB,JAX,7,0.0,0.0,0.0,0.0,834.87,6.91,0.0,27.91,206.27,0.98,0.0,0.98
Alec Pierce,WR,IND,13,0.0,0.0,0.0,0.0,5.11,0.02,0.0,63.91,961.36,6.24,0.0,0.33
Garrett Wilson,WR,NYJ,13,0.0,0.0,0.0,0.0,4.02,0.02,0.0,89.18,1040.76,5.02,0.0,0.47
Parker Washington,WR,JAX,7,0.0,0.0,0.0,0.0,7.44,0.0,0.0,66.16,856.87,5.27,0.0,0.33
Courtland Sutton,WR,DEN,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.53,831.58,6.64,0.0,0.31
TreVeyon Henderson,RB,NE,11,0.0,0.0,0.0,0.0,833.51,6.38,0.0,35.22,268.71,1.71,0.0,1.09
Brian Thomas Jr.,WR,JAX,7,0.0,0.0,0.0,0.0,16.87,0.02,0.0,62.13,888.93,5.93,0.0,0.31
DK Metcalf,WR,PIT,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.87,961.07,6.07,0.0,0.33
Tyler Warren,TE,IND,13,0.0,0.0,0.0,0.0,13.89,0.0,0.0,81.27,842.4,5.07,0.0,0.38
Davante Adams,WR,LAR,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.44,891.18,8.4,0.0,0.29
Rhamondre Stevenson,RB,NE,11,0.0,0.0,0.0,0.0,728.36,6.91,0.0,35.82,273.27,1.62,0.0,1.11
Kyle Pitts Sr.,TE,ATL,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.89,850.24,5.18,0.0,0.38
Tony Pollard,RB,TEN,9,0.0,0.0,0.0,0.0,935.47,5.18,0.0,32.71,221.51,0.24,0.0,1.27
George Kittle,TE,SF,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.76,716.87,5.16,0.0,0.27
Malik Nabers,WR,NYG,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.69,1035.49,6.27,0.0,0.4
Jordan Addison,WR,MIN,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,743.53,5.56,0.0,0.31
Rome Odunze,WR,CHI,10,0.0,0.0,0.0,0.0,13.22,0.0,0.0,67.98,964.18,5.82,0.0,0.33
Chuba Hubbard,RB,CAR,5,0.0,0.0,0.0,0.0,844.62,5.56,0.0,31.84,202.67,1.0,0.0,1.36
Jacoby Brissett,QB,ARI,14,3267.4,17.53,9.38,0.0,140.36,0.93,0.0,0.0,0.0,0.0,0.0,2.49
Kyle Monangai,RB,CHI,10,0.0,0.0,0.0,0.0,727.27,6.24,0.0,23.6,181.64,0.93,0.0,0.98
Xavier Worthy,WR,KC,5,0.0,0.0,0.0,0.0,69.87,0.76,0.0,51.24,646.49,4.27,0.0,0.31
RJ Harvey,RB,DEN,10,0.0,0.0,0.0,0.0,479.89,3.31,0.0,44.82,327.04,2.73,0.0,0.76
Marvin Harrison Jr.,WR,ARI,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.71,885.84,4.98,0.0,0.31
Khalil Shakir,WR,BUF,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.4,699.73,4.22,0.0,0.29
Tua Tagovailoa,QB,ATL,11,2681.47,14.89,9.09,0.0,67.67,0.18,0.0,0.0,0.0,0.0,0.0,1.82
Jayden Higgins,WR,HOU,8,0.0,0.0,0.0,0.0,13.02,0.02,0.0,60.31,747.87,4.47,0.0,0.31
Rico Dowdle,RB,PIT,9,0.0,0.0,0.0,0.0,827.53,4.8,0.0,30.0,220.82,1.11,0.0,1.11
J.K. Dobbins,RB,DEN,10,0.0,0.0,0.0,0.0,900.31,6.8,0.0,16.73,101.84,0.16,0.0,1.02
Michael Pittman Jr,WR,PIT,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.56,910.62,5.91,0.0,0.38
Michael Wilson,WR,ARI,14,0.0,0.0,0.0,0.0,4.29,0.02,0.0,68.13,822.38,4.78,0.0,0.36
Rachaad White,RB,WAS,7,0.0,0.0,0.0,0.0,617.62,4.07,0.0,42.42,315.58,2.44,0.0,1.0
Jayden Reed,WR,GB,11,0.0,0.0,0.0,0.0,79.47,0.67,0.0,54.98,677.93,5.11,0.0,0.31
Mark Andrews,TE,BAL,13,0.0,0.0,0.0,0.0,8.33,0.0,0.0,60.69,648.51,7.02,0.0,0.31
Chris Godwin Jr.,WR,TB,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.31,800.42,4.82,0.0,0.31
